presidente	cartel	nombre
EZP	golfo	Los Zetas
VFQ	sinaloa	FEDA
VFQ	sinaloa	Los Pelones
VFQ	juarez	La Línea
VFQ	golfo	Los Zetas
FCH	sinaloa	Gente Nueva
FCH	sinaloa	Jalisco Nueva Generación
FCH	sinaloa	La Cabrera
FCH	sinaloa	La Barredora
FCH	sinaloa	El Comando del Diablo 
FCH	sinaloa	Cártel del Poniente
FCH	sinaloa	Cártel de la Laguna
FCH	sinaloa	Los Mata-Zetas
FCH	sinaloa	El Aquiles
FCH	sinaloa	El Tigre
FCH	sinaloa	Los Artistas Asesinos
FCH	sinaloa	Los Mexicles
FCH	beltran-leyva	El Chico Malo
FCH	beltran-leyva	El H2
FCH	beltran-leyva	Los Mazatlecos
FCH	beltran-leyva	Los Tigres
FCH	beltran-leyva	El 2 mil 
FCH	beltran-leyva	Los Granados
FCH	beltran-leyva	Los Rojos
FCH	beltran-leyva	Morelos Unidos
FCH	beltran-leyva	Nuevo Cártel de la Sierra
FCH	beltran-leyva	Los Pineda
FCH	beltran-leyva	Los Zafiros
FCH	beltran-leyva	Cártel del Pacífico Sur
FCH	beltran-leyva	La Oficina
FCH	beltran-leyva	La Mano con Ojos
FCH	beltran-leyva	El Mosco
FCH	beltran-leyva	Los Gilos
FCH	beltran-leyva	El Tigre
FCH	beltran-leyva	Los Ardillos
FCH	beltran-leyva	Los Arturos
FCH	juarez	La Línea
FCH	juarez	Los Aztecas
FCH	tijuana	Don Balas
FCH	tijuana	El Mario
FCH	tijuana	El Melvin
FCH	tijuana	El Chan
FCH	tijuana	El Jorquera
FCH	tijuana	Grupos dirigidos por García
FCH	tijuana	Grupos dirigidos por Barranco
FCH	tijuana	Pelioni
FCH	tijuana	El Kieto
FCH	tijuana	Chikaka
FCH	tijuana	El Bibi
FCH	tijuana	El Licenciado
FCH	tijuana	El Turbo
FCH	tijuana	Los Zamudio
FCH	golfo	Los Pelones
FCH	golfo	Metros
FCH	familia-michoacana	Guerreros Unidos
FCH	familia-michoacana	La Resistencia
FCH	familia-michoacana	Champis Crew
FCH	familia-michoacana	Brown Side Family
FCH	familia-michoacana	La Empresa
FCH	zetas	Los Talibanes
FCH	zetas	Los Legionarios
FCH	zetas	Los hijos del diablo
FCH	caballeros-templarios	Guardia Morelense
FCH	caballeros-templarios	Los Troyanos
EPN	sinaloa	Gente Nueva
EPN	sinaloa	Los Cabrera
EPN	sinaloa	La Barredora
EPN	sinaloa	Cártel del Poniente y de la Laguna
EPN	sinaloa	El Aquiles
EPN	sinaloa	El Tigre
EPN	sinaloa	Los Artistas Asesinos
EPN	sinaloa	Los Mexicles
EPN	beltran-leyva	Los Mazatlecos
EPN	beltran-leyva	El 2 mil
EPN	beltran-leyva	Los Granados
EPN	beltran-leyva	Los Rojos
EPN	beltran-leyva	La Oficina
EPN	beltran-leyva	Los Ardillos
EPN	beltran-leyva	Cártel Independiente de Acapulco
EPN	juarez	La Línea
EPN	juarez	Los Aztecas
EPN	tijuana	El Chan
EPN	tijuana	El Jorquera
EPN	tijuana	El Kieto
EPN	golfo	Metros
EPN	golfo	Rojos
EPN	golfo	Grupo Lacoste
EPN	golfo	Grupo Dragones
EPN	golfo	Grupo Bravo
EPN	golfo	Grupo Pumas
EPN	golfo	Grupo de Apoyo Ceros, M3
EPN	golfo	Los Fresitas
EPN	golfo	Los Sierra
EPN	golfo	Los Pantera
EPN	golfo	Ciclones
EPN	golfo	Los Pelones
EPN	zetas	Sangre Zeta
EPN	zetas	Grupo Operativo Zetas
EPN	zetas	Comando Zetas
EPN	zetas	El Círculo y El Extranjero
EPN	zetas	Unidad Zetas
EPN	zetas	Néctar Lima
EPN	zetas	Grupo Delta Zeta
EPN	zetas	Los Negros
EPN	zetas	Fuerzas Especiales Zetas
EPN	familia-michoacana	Guerreros Unidos
EPN	familia-michoacana	La Empresa
